Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
1,24,-0.300000,15.990313,0.085000,13.6783,13.9435,14.3644,15.1073,15.9903,16.9416,17.4830,17.8638,18.4456,18.8371
1,25,-0.300000,15.964076,0.085000,13.6559,13.9206,14.3409,15.0825,15.9641,16.9138,17.4543,17.8344,18.4153,18.8062
1,26,-0.300000,15.938146,0.085000,13.6337,13.8980,14.3176,15.0580,15.9381,16.8863,17.4259,17.8055,18.3854,18.7757
1,27,-0.300000,15.912546,0.085000,13.6118,13.8757,14.2946,15.0339,15.9125,16.8592,17.3979,17.7769,18.3559,18.7455
1,28,-0.300000,15.887293,0.085000,13.5902,13.8536,14.2719,15.0100,15.8873,16.8324,17.3703,17.7487,18.3268,18.7158
1,29,-0.300000,15.862393,0.085000,13.5689,13.8319,14.2495,14.9865,15.8624,16.8061,17.3431,17.7209,18.2980,18.6864
1,30,-0.300000,15.837841,0.085000,13.5479,13.8105,14.2275,14.9633,15.8378,16.7800,17.3163,17.6934,18.2697,18.6575
1,31,-0.300000,15.813624,0.085000,13.5272,13.7894,14.2057,14.9404,15.8136,16.7544,17.2898,17.6664,18.2418,18.6290
1,32,-0.300000,15.789720,0.085000,13.5068,13.7686,14.1843,14.9178,15.7897,16.7291,17.2637,17.6397,18.2142,18.6008
1,33,-0.300000,15.766096,0.085000,13.4866,13.7480,14.1630,14.8955,15.7661,16.7040,17.2378,17.6133,18.1869,18.5730
1,34,-0.300000,15.742715,0.085000,13.4665,13.7276,14.1420,14.8734,15.7427,16.6793,17.2123,17.5872,18.1600,18.5454
1,35,-0.300000,15.719530,0.085000,13.4467,13.7073,14.1212,14.8515,15.7195,16.6547,17.1869,17.5613,18.1332,18.5181
1,36,-0.300000,15.696491,0.085000,13.4270,13.6873,14.1005,14.8297,15.6965,16.6303,17.1617,17.5355,18.1067,18.4910
1,37,-0.300000,15.681875,0.085000,13.4145,13.6745,14.0874,14.8159,15.6819,16.6148,17.1457,17.5192,18.0898,18.4738
1,38,-0.300000,15.667295,0.085000,13.4020,13.6618,14.0743,14.8021,15.6673,16.5993,17.1298,17.5029,18.0730,18.4566
1,39,-0.300000,15.652693,0.085000,13.3895,13.6491,14.0612,14.7884,15.6527,16.5839,17.1138,17.4866,18.0561,18.4394
1,40,-0.300000,15.638013,0.085000,13.3770,13.6363,14.0480,14.7745,15.6380,16.5683,17.0978,17.4702,18.0392,18.4221
1,41,-0.300000,15.623198,0.085000,13.3643,13.6233,14.0347,14.7605,15.6232,16.5526,17.0816,17.4536,18.0221,18.4047
1,42,-0.300000,15.608199,0.085000,13.3515,13.6103,14.0212,14.7463,15.6082,16.5367,17.0652,17.4369,18.0048,18.3870
1,43,-0.300000,15.592969,0.085000,13.3385,13.5970,14.0075,14.7319,15.5930,16.5206,17.0485,17.4199,17.9872,18.3690
1,44,-0.300000,15.577470,0.085000,13.3252,13.5835,13.9936,14.7173,15.5775,16.5042,17.0316,17.4025,17.9694,18.3508
1,45,-0.300000,15.561669,0.085000,13.3117,13.5697,13.9794,14.7024,15.5617,16.4874,17.0143,17.3849,17.9511,18.3322
1,46,-0.300000,15.545543,0.085000,13.2979,13.5556,13.9649,14.6871,15.5455,16.4704,16.9967,17.3669,17.9325,18.3132
1,47,-0.300000,15.529077,0.085000,13.2838,13.5413,13.9501,14.6716,15.5291,16.4529,16.9787,17.3485,17.9135,18.2938
1,48,-0.300000,15.512268,0.085000,13.2694,13.5266,13.9350,14.6557,15.5123,16.4351,16.9603,17.3297,17.8941,18.2740
1,49,-0.300000,15.495119,0.085000,13.2548,13.5117,13.9196,14.6395,15.4951,16.4169,16.9415,17.3105,17.8744,18.2538
1,50,-0.300000,15.477645,0.085000,13.2398,13.4964,13.9039,14.6230,15.4776,16.3984,16.9224,17.2910,17.8542,18.2332
1,51,-0.300000,15.459869,0.085000,13.2246,13.4809,13.8879,14.6062,15.4599,16.3796,16.9030,17.2712,17.8337,18.2122
1,52,-0.300000,15.441822,0.085000,13.2092,13.4652,13.8717,14.5891,15.4418,16.3605,16.8833,17.2510,17.8129,18.1910
1,53,-0.300000,15.423543,0.085000,13.1935,13.4492,13.8553,14.5719,15.4235,16.3411,16.8633,17.2306,17.7918,18.1695
1,54,-0.300000,15.405077,0.085000,13.1777,13.4331,13.8387,14.5544,15.4051,16.3215,16.8431,17.2100,17.7705,18.1477
1,55,-0.300000,15.386475,0.085000,13.1618,13.4169,13.8220,14.5368,15.3865,16.3018,16.8228,17.1892,17.7490,18.1258
1,56,-0.300000,15.367789,0.085000,13.1458,13.4006,13.8052,14.5192,15.3678,16.2820,16.8023,17.1683,17.7275,18.1038
