Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
1,0,1.000000,49.900000,0.040000,46.1455,46.6166,47.3411,48.5547,49.9000,51.2453,51.9679,52.4589,53.1834,53.6545
1,1,1.000000,53.740465,0.040000,49.6970,50.2043,50.9847,52.2916,53.7405,55.1893,55.9675,56.4963,57.2766,57.7839
1,2,1.000000,57.581735,0.040000,53.2493,53.7929,54.6289,56.0293,57.5817,59.1341,59.9679,60.5345,61.3706,61.9142
1,3,1.000000,61.423549,0.040000,56.8020,57.3819,58.2737,59.7676,61.4235,63.0795,63.9689,64.5733,65.4652,66.0451
1,4,1.000000,63.498063,0.040000,58.7205,59.3199,60.2419,61.7862,63.4981,65.2100,66.1294,66.7542,67.6762,68.2757
1,5,1.000000,65.572138,0.040000,60.6385,61.2575,62.2096,63.8043,65.5721,67.3400,68.2894,68.9347,69.8868,70.5058
1,6,1.000000,67.645507,0.040000,62.5559,63.1944,64.1766,65.8218,67.6455,69.4692,70.4487,71.1144,72.0966,72.7352
1,7,1.000000,69.000717,0.040000,63.8091,64.4605,65.4624,67.1405,69.0007,70.8610,71.8601,72.5391,73.5410,74.1923
1,8,1.000000,70.354662,0.040000,65.0612,65.7253,66.7469,68.4579,70.3547,72.2514,73.2702,73.9624,74.9840,75.6481
1,9,1.000000,71.707176,0.040000,66.3119,66.9888,68.0300,69.7740,71.7072,73.6404,74.6787,75.3843,76.4255,77.1024
1,10,1.000000,73.058132,0.040000,67.5612,68.2509,69.3117,71.0885,73.0581,75.0278,76.0857,76.8046,77.8654,78.5550
1,11,1.000000,74.407442,0.040000,68.8090,69.5114,70.5918,72.4014,74.4074,76.4135,77.4909,78.2231,79.3035,80.0059
1,12,1.000000,75.755067,0.040000,70.0553,70.7704,71.8703,73.7127,75.7551,77.7974,78.8944,79.6398,80.7398,81.4549
1,13,1.000000,76.700752,0.040000,70.9298,71.6538,72.7675,74.6329,76.7008,78.7686,79.8792,80.6340,81.7477,82.4717
1,14,1.000000,77.644889,0.040000,71.8029,72.5359,73.6633,75.5516,77.6449,79.7382,80.8625,81.6265,82.7539,83.4869
1,15,1.000000,78.587608,0.040000,72.6747,73.4165,74.5576,76.4689,78.5876,80.7063,81.8443,82.6176,83.7587,84.5005
1,16,1.000000,79.529083,0.040000,73.5453,74.2961,75.4508,77.3850,79.5291,81.6732,82.8248,83.6073,84.7621,85.5129
1,17,1.000000,80.469527,0.040000,74.4150,75.1746,76.3430,78.3001,80.4695,82.6390,83.8042,84.5960,85.7644,86.5241
1,18,1.000000,81.409190,0.040000,75.2840,76.0525,77.2345,79.2144,81.4092,83.6040,84.7828,85.5839,86.7659,87.5344
1,19,1.000000,82.348348,0.040000,76.1525,76.9298,78.1255,80.1282,82.3483,84.5685,85.7609,86.5712,87.7669,88.5442
1,20,1.000000,83.287301,0.040000,77.0208,77.8070,79.0163,81.0419,83.2873,85.5327,86.7387,87.5583,88.7676,89.5538
1,21,1.000000,84.226357,0.040000,77.8892,78.6843,79.9072,81.9556,84.2264,86.4971,87.7167,88.5455,89.7685,90.5635
1,22,1.000000,85.165833,0.040000,78.7580,79.5619,80.7985,82.8698,85.1658,87.4619,88.6951,89.5331,90.7697,91.5737
1,23,1.000000,86.106037,0.040000,79.6274,80.4403,81.6905,83.7846,86.1060,88.4275,89.6743,90.5216,91.7718,92.5847
1,24,1.000000,87.047266,0.040000,80.4978,81.3196,82.5835,84.7005,87.0473,89.3941,90.6545,91.5110,92.7750,93.5967
1,25,1.000000,87.748290,0.040000,81.1461,81.9745,83.2486,85.3826,87.7483,90.1140,91.3846,92.2480,93.5221,94.3505
1,26,1.000000,88.450880,0.040000,81.7958,82.6308,83.9151,86.0662,88.4509,90.8355,92.1163,92.9866,94.2709,95.1059
1,27,1.000000,89.155224,0.040000,82.4472,83.2888,84.5833,86.7516,89.1552,91.5588,92.8498,93.7271,95.0216,95.8633
1,28,1.000000,89.861462,0.040000,83.1003,83.9486,85.2534,87.4388,89.8615,92.2841,93.5853,94.4696,95.7743,96.6226
1,29,1.000000,90.569683,0.040000,83.7552,84.6102,85.9253,88.1279,90.5697,93.0114,94.3229,95.2141,96.5292,97.3841
1,30,1.000000,91.279922,0.040000,84.4120,85.2737,86.5991,88.8190,91.2799,93.7408,95.0626,95.9608,97.2861,98.1478
1,31,1.000000,91.992156,0.040000,85.0707,85.9391,87.2748,89.5120,91.9922,94.4723,95.8043,96.7095,98.0452,98.9136
1,32,1.000000,92.706307,0.040000,85.7311,86.6062,87.9523,90.2069,92.7063,95.2057,96.5481,97.4603,98.8064,99.6815
1,33,1.000000,93.422240,0.040000,86.3932,87.2751,88.6315,90.9036,93.4222,95.9409,97.2937,98.2129,99.5694,100.4513
1,34,1.000000,94.139768,0.040000,87.0567,87.9454,89.3123,91.6018,94.1398,96.6778,98.0409,98.9673,100.3342,101.2228
1,35,1.000000,94.858657,0.040000,87.7215,88.6170,89.9943,92.3013,94.8587,97.4160,98.7896,99.7230,101.1004,101.9958
1,36,1.000000,95.578630,0.040000,88.3873,89.2896,90.6774,93.0018,95.5786,98.1554,99.5394,100.4799,101.8677,102.7700
1,37,1.000000,96.186887,0.040000,88.9498,89.8578,91.2544,93.5937,96.1869,98.7801,100.1729,101.1194,102.5160,103.4240
1,38,1.000000,96.795548,0.040000,89.5127,90.4264,91.8319,94.1859,96.7955,99.4052,100.8068,101.7592,103.1647,104.0784
1,39,1.000000,97.404260,0.040000,90.0756,90.9951,92.4094,94.7782,97.4043,100.0303,101.4407,102.3992,103.8135,104.7330
1,40,1.000000,98.012662,0.040000,90.6382,91.5634,92.9866,95.3702,98.0127,100.6551,102.0743,103.0388,104.4619,105.3871
1,41,1.000000,98.620397,0.040000,91.2002,92.1312,93.5631,95.9616,98.6204,101.2792,102.7072,103.6777,105.1096,106.0406
1,42,1.000000,99.227125,0.040000,91.7613,92.6980,94.1388,96.5520,99.2271,101.9023,103.3391,104.3155,105.7563,106.6930
1,43,1.000000,99.832528,0.040000,92.3211,93.2635,94.7131,97.1410,99.8325,102.5240,103.9696,104.9519,106.4015,107.3439
1,44,1.000000,100.436321,0.040000,92.8795,93.8276,95.2859,97.7286,100.4363,103.1441,104.5984,105.5867,107.0450,107.9931
1,45,1.000000,101.038262,0.040000,93.4361,94.3899,95.8570,98.3143,101.0383,103.7623,105.2253,106.2195,107.6866,108.6404
1,46,1.000000,101.638159,0.040000,93.9909,94.9504,96.4262,98.8980,101.6382,104.3783,105.8500,106.8502,108.3259,109.2854
1,47,1.000000,102.235873,0.040000,94.5436,95.5088,96.9932,99.4796,102.2359,104.9922,106.4725,107.4785,108.9630,109.9281
1,48,1.000000,102.831325,0.040000,95.0943,96.0650,97.5581,100.0590,102.8313,105.6037,107.0927,108.1045,109.5976,110.5684
1,49,1.000000,103.424501,0.040000,95.6428,96.6192,98.1209,100.6362,103.4245,106.2128,107.7104,108.7281,110.2298,111.2062
1,50,1.000000,104.015448,0.040000,96.1893,97.1712,98.6815,101.2112,104.0154,106.8197,108.3258,109.3494,110.8597,111.8416
1,51,1.000000,104.604277,0.040000,96.7339,97.7213,99.2402,101.7841,104.6043,107.4244,108.9391,109.9684,111.4872,112.4747
1,52,1.000000,105.191161,0.040000,97.2766,98.2696,99.7970,102.3552,105.1912,108.0271,109.5503,110.5854,112.1127,113.1057
1,53,1.000000,105.776327,0.040000,97.8177,98.8162,100.3521,102.9246,105.7763,108.6281,110.1597,111.2005,112.7364,113.7349
1,54,1.000000,106.360055,0.040000,98.3575,99.3616,100.9059,103.4926,106.3601,109.2275,110.7676,111.8142,113.3585,114.3626
1,55,1.000000,106.942667,0.040000,98.8963,99.9058,101.4586,104.0595,106.9427,109.8258,111.3744,112.4267,113.9795,114.9890
1,56,1.000000,107.524521,0.040000,99.4344,100.4494,102.0107,104.6257,107.5245,110.4234,111.9803,113.0384,114.5996,115.6147
1,57,1.000000,108.106000,0.040000,99.9721,100.9926,102.5623,105.1915,108.1060,111.0205,112.5859,113.6497,115.2194,116.2399
1,58,1.000000,108.687502,0.040000,100.5099,101.5359,103.1140,105.7573,108.6875,111.6177,113.1915,114.2610,115.8391,116.8651
1,59,1.000000,109.269427,0.040000,101.0480,102.0795,103.6661,106.3235,109.2694,112.2153,113.7976,114.8728,116.4594,117.4909
1,60,1.000000,109.852170,0.040000,101.5869,102.6239,104.2190,106.8906,109.8522,112.8138,114.4044,115.4854,117.0804,118.1174
1,61,1.000000,110.343100,0.040000,102.0409,103.0825,104.6847,107.3683,110.3431,113.3180,114.9157,116.0015,117.6037,118.6453
1,62,1.000000,110.835586,0.040000,102.4963,103.5426,105.1519,107.8475,110.8356,113.8237,115.4286,116.5192,118.1286,119.1749
1,63,1.000000,111.329929,0.040000,102.9535,104.0044,105.6209,108.3285,111.3299,114.3314,115.9434,117.0389,118.6554,119.7064
1,64,1.000000,111.826381,0.040000,103.4126,104.4682,106.0919,108.8115,111.8264,114.8412,116.4605,117.5608,119.1846,120.2402
1,65,1.000000,112.325139,0.040000,103.8738,104.9341,106.5651,109.2969,112.3251,115.3534,116.9799,118.0852,119.7161,120.7765
1,66,1.000000,112.826334,0.040000,104.3373,105.4024,107.0406,109.7845,112.8263,115.8681,117.5019,118.6121,120.2503,121.3154
1,67,1.000000,113.330034,0.040000,104.8031,105.8729,107.5185,110.2747,113.3300,116.3854,118.0264,119.1416,120.7871,121.8570
1,68,1.000000,113.836234,0.040000,105.2712,106.3458,107.9987,110.7672,113.8362,116.9053,118.5536,119.6738,121.3267,122.4013
1,69,1.000000,114.344861,0.040000,105.7416,106.8210,108.4813,111.2621,114.3449,117.4276,119.0833,120.2085,121.8688,122.9482
1,70,1.000000,114.855774,0.040000,106.2140,107.2983,108.9660,111.7593,114.8558,117.9523,119.6154,120.7456,122.4133,123.4975
1,71,1.000000,115.368765,0.040000,106.6884,107.7775,109.4527,112.2584,115.3688,118.4791,120.1496,121.2849,122.9600,124.0491
1,72,1.000000,115.883568,0.040000,107.1645,108.2584,109.9411,112.7593,115.8836,119.0078,120.6858,121.8261,123.5087,124.6026
1,73,1.000000,116.399863,0.040000,107.6419,108.7408,110.4309,113.2617,116.3999,119.5380,121.2235,122.3688,124.0590,125.1578
1,74,1.000000,116.917285,0.040000,108.1204,109.2241,110.9218,113.7652,116.9173,120.0694,121.7623,122.9128,124.6104,125.7141
1,75,1.000000,117.435436,0.040000,108.5996,109.7082,111.4133,114.2694,117.4354,120.6015,122.3020,123.4575,125.1627,126.2713
1,76,1.000000,117.953892,0.040000,109.0790,110.1925,111.9052,114.7739,117.9539,121.1339,122.8419,124.0026,125.7153,126.8287
1,77,1.000000,118.472220,0.040000,109.5584,110.6767,112.3970,115.2782,118.4722,121.6662,123.3817,124.5475,126.2677,127.3861
1,78,1.000000,118.989983,0.040000,110.0372,111.1604,112.8882,115.7820,118.9900,122.1980,123.9209,125.0918,126.8195,127.9428
1,79,1.000000,119.506760,0.040000,110.5151,111.6432,113.3785,116.2849,119.5068,122.7287,124.4591,125.6351,127.3703,128.4984
1,80,1.000000,120.022150,0.040000,110.9917,112.1247,113.8674,116.7864,120.0222,123.2579,124.9959,126.1769,127.9196,129.0526
1,81,1.000000,120.535791,0.040000,111.4667,112.6045,114.3547,117.2861,120.5358,123.7854,125.5308,126.7169,128.4670,129.6049
1,82,1.000000,121.047365,0.040000,111.9398,113.0824,114.8401,117.7839,121.0474,124.3108,126.0636,127.2547,129.0123,130.1550
1,83,1.000000,121.556609,0.040000,112.4107,113.5582,115.3232,118.2794,121.5566,124.8338,126.5939,127.7900,129.5550,130.7025
1,84,1.000000,122.063324,0.040000,112.8793,114.0316,115.8039,118.7725,122.0633,125.3542,127.1216,128.3227,130.0951,131.2474
1,85,1.000000,122.567377,0.040000,113.3454,114.5024,116.2821,119.2630,122.5674,125.8718,127.6466,128.8526,130.6323,131.7893
1,86,1.000000,123.068713,0.040000,113.8090,114.9708,116.7577,119.7508,123.0687,126.3866,128.1687,129.3797,131.1666,132.3284
1,87,1.000000,123.567349,0.040000,114.2701,115.4366,117.2308,120.2360,123.5673,126.8987,128.6880,129.9039,131.6981,132.8646
1,88,1.000000,124.063378,0.040000,114.7288,115.9000,117.7014,120.7186,124.0634,127.4081,129.2046,130.4253,132.2267,133.3979
1,89,1.000000,124.556967,0.040000,115.1853,116.3611,118.1697,121.1989,124.5570,127.9150,129.7186,130.9442,132.7528,133.9286
1,90,1.000000,125.048353,0.040000,115.6397,116.8202,118.6359,121.6770,125.0484,128.4197,130.2304,131.4608,133.2765,134.4570
1,91,1.000000,125.537836,0.040000,116.0924,117.2774,119.1003,122.1533,125.5378,128.9223,130.7401,131.9754,133.7982,134.9833
1,92,1.000000,126.025771,0.040000,116.5436,117.7333,119.5632,122.6281,126.0258,129.4234,131.2483,132.4884,134.3183,135.5080
1,93,1.000000,126.512560,0.040000,116.9938,118.1880,120.0250,123.1018,126.5126,129.9233,131.7552,133.0001,134.8371,136.0314
1,94,1.000000,126.998639,0.040000,117.4433,118.6421,120.4861,123.5748,126.9986,130.4225,132.2615,133.5111,135.3551,136.5540
1,95,1.000000,127.484468,0.040000,117.8925,119.0960,120.9471,124.0475,127.4845,130.9214,132.7674,134.0219,135.8729,137.0764
1,96,1.000000,127.970519,0.040000,118.3420,119.5501,121.4082,124.5204,127.9705,131.4206,133.2736,134.5328,136.3910,137.5990
1,97,1.000000,128.387839,0.040000,118.7279,119.9399,121.8041,124.9265,128.3878,131.8492,133.7082,134.9716,136.8358,138.0477
1,98,1.000000,128.806316,0.040000,119.1149,120.3309,122.2011,125.3337,128.8063,132.2789,134.1440,135.4115,137.2818,138.4977
1,99,1.000000,129.226373,0.040000,119.5034,120.7233,122.5996,125.7424,129.2264,132.7103,134.5815,135.8531,137.7295,138.9494
1,100,1.000000,129.648389,0.040000,119.8936,121.1175,123.0000,126.1531,129.6484,133.1437,135.0210,136.2968,138.1793,139.4031
1,101,1.000000,130.072694,0.040000,120.2860,121.5139,123.4026,126.5659,130.0727,133.5795,135.4629,136.7428,138.6315,139.8594
1,102,1.000000,130.499553,0.040000,120.6808,121.9127,123.8075,126.9813,130.4996,134.0178,135.9075,137.1916,139.0864,140.3183
1,103,1.000000,130.929165,0.040000,121.0781,122.3140,124.2151,127.3993,130.9292,134.4590,136.3549,137.6432,139.5443,140.7803
1,104,1.000000,131.361650,0.040000,121.4780,122.7181,124.6254,127.8201,131.3616,134.9032,136.8053,138.0979,140.0052,141.2453
1,105,1.000000,131.797052,0.040000,121.8806,123.1248,125.0385,128.2438,131.7971,135.3503,137.2587,138.5556,140.4693,141.7135
1,106,1.000000,132.235332,0.040000,122.2859,123.5342,125.4543,128.6703,132.2353,135.8004,137.7152,139.0164,140.9364,142.1847
1,107,1.000000,132.676372,0.040000,122.6938,123.9463,125.8727,129.0994,132.6764,136.2533,138.1745,139.4800,141.4065,142.6589
1,108,1.000000,133.119975,0.040000,123.1040,124.3607,126.2936,129.5311,133.1200,136.7089,138.6365,139.9464,141.8793,143.1359
1,109,1.000000,133.565871,0.040000,123.5164,124.7772,126.7166,129.9649,133.5659,137.1668,139.1008,140.4151,142.3545,143.6154
1,110,1.000000,134.013727,0.040000,123.9305,125.1956,127.1415,130.4007,134.0137,137.6267,139.5673,140.8860,142.8318,144.0969
1,111,1.000000,134.463149,0.040000,124.3461,125.6155,127.5679,130.8380,134.4631,138.0883,140.0353,141.3584,143.3108,144.5802
1,112,1.000000,134.913701,0.040000,124.7628,126.0364,127.9953,131.2764,134.9137,138.5510,140.5045,141.8321,143.7910,145.0646
1,113,1.000000,135.364910,0.040000,125.1801,126.4579,128.4234,131.7155,135.3649,139.0143,140.9744,142.3064,144.2719,145.5498
1,114,1.000000,135.816283,0.040000,125.5975,126.8796,128.8516,132.1547,135.8163,139.4779,141.4445,142.7809,144.7530,146.0351
1,115,1.000000,136.267318,0.040000,126.0146,127.3009,129.2795,132.5936,136.2673,139.9411,141.9142,143.2551,145.2337,146.5201
1,116,1.000000,136.717520,0.040000,126.4309,127.7215,129.7066,133.0316,136.7175,140.4034,142.3831,143.7284,145.7135,147.0041
1,117,1.000000,137.166416,0.040000,126.8460,128.1409,130.1325,133.4684,137.1664,140.8644,142.8506,144.2003,146.1920,147.4868
1,118,1.000000,137.613562,0.040000,127.2595,128.5586,130.5567,133.9035,137.6136,141.3236,143.3163,144.6704,146.6685,147.9676
1,119,1.000000,138.058563,0.040000,127.6710,128.9743,130.9789,134.3365,138.0586,141.7806,143.7797,145.1382,147.1428,148.4461
1,120,1.000000,138.501081,0.040000,128.0803,129.3877,131.3987,134.7671,138.5011,142.2351,144.2406,145.6034,147.6145,148.9219
1,121,1.000000,138.961695,0.040000,128.5062,129.8180,131.8357,135.2153,138.9617,142.7081,144.7203,146.0877,148.1054,149.4172
1,122,1.000000,139.419358,0.040000,128.9294,130.2456,132.2699,135.6606,139.4194,143.1781,145.1969,146.5688,148.5932,149.9093
1,123,1.000000,139.873956,0.040000,129.3498,130.6702,132.7012,136.1030,139.8740,143.6450,145.6703,147.0467,149.0777,150.3981
1,124,1.000000,140.325454,0.040000,129.7674,131.0920,133.1296,136.5423,140.3255,144.1086,146.1405,147.5213,149.5589,150.8835
1,125,1.000000,140.773909,0.040000,130.1821,131.5110,133.5550,136.9786,140.7739,144.5692,146.6076,147.9928,150.0368,151.3657
1,126,1.000000,141.219458,0.040000,130.5941,131.9272,133.9777,137.4122,141.2195,145.0267,147.0716,148.4612,150.5117,151.8448
1,127,1.000000,141.662324,0.040000,131.0037,132.3409,134.3979,137.8431,141.6623,145.4815,147.5328,148.9268,150.9837,152.3210
1,128,1.000000,142.102803,0.040000,131.4110,132.7524,134.8158,138.2717,142.1028,145.9339,147.9915,149.3898,151.4532,152.7946
1,129,1.000000,142.541262,0.040000,131.8165,133.1620,135.2317,138.6983,142.5413,146.3842,148.4482,149.8508,151.9205,153.2661
1,130,1.000000,142.978125,0.040000,132.2205,133.5702,135.6462,139.1234,142.9781,146.8328,148.9031,150.3100,152.3861,153.7358
1,131,1.000000,143.413862,0.040000,132.6234,133.9772,136.0596,139.5474,143.4139,147.2803,149.3569,150.7681,152.8505,154.2043
1,132,1.000000,143.848981,0.040000,133.0258,134.3837,136.4724,139.9708,143.8490,147.7271,149.8101,151.2256,153.3142,154.6722
1,133,1.000000,144.284008,0.040000,133.4281,134.7901,136.8851,140.3941,144.2840,148.1739,150.2631,151.6829,153.7779,155.1399
1,134,1.000000,144.719475,0.040000,133.8308,135.1969,137.2983,140.8178,144.7195,148.6211,150.7166,152.1407,154.2420,155.6082
1,135,1.000000,145.155905,0.040000,134.2344,135.6046,137.7123,141.2425,145.1559,149.0693,151.1712,152.5995,154.7072,156.0774
1,136,1.000000,145.593798,0.040000,134.6393,136.0137,138.1277,141.6686,145.5938,149.5190,151.6272,153.0598,155.1739,156.5483
1,137,1.000000,146.033617,0.040000,135.0460,136.4246,138.5450,142.0966,146.0336,149.9707,152.0852,153.5222,155.6426,157.0212
1,138,1.000000,146.475772,0.040000,135.4549,136.8377,138.9645,142.5268,146.4758,150.4248,152.5457,153.9870,156.1139,157.4966
1,139,1.000000,146.920613,0.040000,135.8663,137.2532,139.3865,142.9596,146.9206,150.8816,153.0090,154.4547,156.5880,157.9749
1,140,1.000000,147.368416,0.040000,136.2804,137.6716,139.8114,143.3954,147.3684,151.3415,153.4754,154.9255,157.0653,158.4564
1,141,1.000000,147.819377,0.040000,136.6974,138.0929,140.2392,143.8342,147.8194,151.8046,153.9450,155.3996,157.5459,158.9413
1,142,1.000000,148.273604,0.040000,137.1175,138.5172,140.6701,144.2761,148.2736,152.2711,154.4181,155.8771,158.0300,159.4297
1,143,1.000000,148.731115,0.040000,137.5406,138.9446,141.1042,144.7213,148.7311,152.7409,154.8945,156.3580,158.5176,159.9216
1,144,1.000000,149.191838,0.040000,137.9666,139.3750,141.5413,145.1696,149.1918,153.2140,155.3743,156.8424,159.0087,160.4170
1,145,1.000000,149.730560,0.040000,138.4648,139.8783,142.0524,145.6938,149.7306,153.7673,155.9354,157.4087,159.5828,160.9963
1,146,1.000000,150.272095,0.040000,138.9656,140.3842,142.5661,146.2208,150.2721,154.3234,156.4994,157.9780,160.1600,161.5786
1,147,1.000000,150.816117,0.040000,139.4687,140.8924,143.0823,146.7501,150.8161,154.8821,157.0659,158.5500,160.7398,162.1635
