Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
1,0,0.200000,3.300000,0.130000,2.5682,2.6521,2.7855,3.0208,3.3000,3.5995,3.7690,3.8879,4.0687,4.1898
1,1,0.200000,4.333908,0.130000,3.3728,3.4831,3.6582,3.9672,4.3339,4.7272,4.9499,5.1060,5.3435,5.5025
1,2,0.200000,5.368071,0.130000,4.1777,4.3142,4.5311,4.9139,5.3681,5.8552,6.1311,6.3244,6.6185,6.8156
1,3,0.200000,6.402455,0.130000,4.9827,5.1455,5.4042,5.8608,6.4025,6.9834,7.3125,7.5430,7.8939,8.1289
1,4,0.200000,6.903413,0.130000,5.3726,5.5481,5.8271,6.3194,6.9034,7.5299,7.8846,8.1332,8.5115,8.7649
1,5,0.200000,7.404382,0.130000,5.7624,5.9507,6.2499,6.7780,7.4044,8.0763,8.4568,8.7234,9.1292,9.4009
1,6,0.200000,7.905318,0.130000,6.1523,6.3533,6.6728,7.2365,7.9053,8.6227,9.0289,9.3136,9.7468,10.0370
1,7,0.200000,8.189353,0.130000,6.3733,6.5816,6.9125,7.4965,8.1894,8.9325,9.3533,9.6483,10.0970,10.3976
1,8,0.200000,8.473250,0.130000,6.5943,6.8098,7.1522,7.7564,8.4732,9.2422,9.6776,9.9827,10.4470,10.7580
1,9,0.200000,8.756982,0.130000,6.8151,7.0378,7.3916,8.0161,8.7570,9.5516,10.0016,10.3170,10.7969,11.1183
1,10,0.200000,9.040527,0.130000,7.0358,7.2657,7.6310,8.2757,9.0405,9.8609,10.3255,10.6511,11.1464,11.4783
1,11,0.200000,9.323865,0.130000,7.2563,7.4934,7.8701,8.5350,9.3239,10.1700,10.6491,10.9849,11.4958,11.8380
1,12,0.200000,9.606983,0.130000,7.4766,7.7209,8.1091,8.7942,9.6070,10.4788,10.9725,11.3184,11.8449,12.1975
1,13,0.200000,9.823167,0.130000,7.6448,7.8947,8.2916,8.9921,9.8232,10.7146,11.2194,11.5731,12.1114,12.4719
1,14,0.200000,10.039137,0.130000,7.8129,8.0682,8.4739,9.1898,10.0391,10.9501,11.4660,11.8276,12.3777,12.7462
1,15,0.200000,10.254907,0.130000,7.9808,8.2416,8.6560,9.3873,10.2549,11.1855,11.7125,12.0818,12.6437,13.0201
1,16,0.200000,10.470496,0.130000,8.1486,8.4149,8.8380,9.5847,10.4705,11.4206,11.9587,12.3358,12.9095,13.2938
1,17,0.200000,10.685926,0.130000,8.3163,8.5880,9.0198,9.7819,10.6859,11.6556,12.2048,12.5896,13.1751,13.5673
1,18,0.200000,10.901231,0.130000,8.4838,8.7611,9.2016,9.9790,10.9012,11.8905,12.4507,12.8432,13.4406,13.8407
1,19,0.200000,11.116444,0.130000,8.6513,8.9340,9.3832,10.1760,11.1164,12.1252,12.6965,13.0968,13.7059,14.1140
1,20,0.200000,11.331606,0.130000,8.8188,9.1070,9.5648,10.3729,11.3316,12.3599,12.9422,13.3503,13.9712,14.3871
1,21,0.200000,11.546759,0.130000,8.9862,9.2799,9.7465,10.5699,11.5468,12.5946,13.1879,13.6038,14.2365,14.6603
1,22,0.200000,11.761948,0.130000,9.1537,9.4528,9.9281,10.7669,11.7619,12.8293,13.4337,13.8573,14.5018,14.9335
1,23,0.200000,11.977218,0.130000,9.3212,9.6258,10.1098,10.9639,11.9772,13.0641,13.6796,14.1109,14.7672,15.2068
1,24,0.200000,12.192614,0.130000,9.4889,9.7989,10.2916,11.1611,12.1926,13.2990,13.9256,14.3647,15.0328,15.4803
1,25,0.200000,12.366538,0.130000,9.6242,9.9387,10.4384,11.3203,12.3665,13.4887,14.1242,14.5696,15.2472,15.7011
1,26,0.200000,12.540673,0.130000,9.7597,10.0786,10.5854,11.4797,12.5407,13.6787,14.3231,14.7748,15.4619,15.9222
1,27,0.200000,12.715049,0.130000,9.8954,10.2188,10.7326,11.6393,12.7150,13.8689,14.5223,14.9802,15.6769,16.1436
1,28,0.200000,12.889691,0.130000,10.0314,10.3591,10.8800,11.7992,12.8897,14.0594,14.7217,15.1859,15.8922,16.3654
1,29,0.200000,13.064616,0.130000,10.1675,10.4997,11.0277,11.9593,13.0646,14.2502,14.9215,15.3920,16.1079,16.5874
1,30,0.200000,13.239835,0.130000,10.3039,10.6406,11.1756,12.1197,13.2398,14.4413,15.1217,15.5985,16.3239,16.8099
1,31,0.200000,13.415349,0.130000,10.4404,10.7816,11.3237,12.2804,13.4153,14.6327,15.3221,15.8053,16.5403,17.0328
1,32,0.200000,13.591151,0.130000,10.5773,10.9229,11.4721,12.4413,13.5912,14.8245,15.5229,16.0124,16.7571,17.2560
