Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
1,45,-0.350000,2.401801,0.080000,2.0742,2.1118,2.1716,2.2769,2.4018,2.5362,2.6125,2.6662,2.7482,2.8033
1,45.5,-0.350000,2.491919,0.080000,2.1520,2.1911,2.2531,2.3623,2.4919,2.6313,2.7106,2.7663,2.8513,2.9085
1,46,-0.350000,2.582028,0.080000,2.2298,2.2703,2.3345,2.4477,2.5820,2.7265,2.8086,2.8663,2.9544,3.0137
1,46.5,-0.350000,2.672124,0.080000,2.3076,2.3495,2.4160,2.5331,2.6721,2.8216,2.9066,2.9663,3.0575,3.1188
1,47,-0.350000,2.762208,0.080000,2.3854,2.4287,2.4974,2.6185,2.7622,2.9167,3.0046,3.0663,3.1606,3.2240
1,47.5,-0.350000,2.852276,0.080000,2.4632,2.5079,2.5789,2.7039,2.8523,3.0118,3.1025,3.1663,3.2636,3.3291
1,48,-0.350000,2.942327,0.080000,2.5410,2.5871,2.6603,2.7893,2.9423,3.1069,3.2005,3.2663,3.3667,3.4342
1,48.5,-0.350000,3.032361,0.080000,2.6187,2.6663,2.7417,2.8746,3.0324,3.2020,3.2984,3.3662,3.4697,3.5393
1,49,-0.350000,3.122375,0.080000,2.6965,2.7454,2.8231,2.9600,3.1224,3.2971,3.3963,3.4661,3.5727,3.6444
1,49.5,-0.350000,3.212369,0.080000,2.7742,2.8246,2.9045,3.0453,3.2124,3.3921,3.4942,3.5660,3.6757,3.7494
1,50,-0.350000,3.302342,0.080000,2.8519,2.9037,2.9858,3.1306,3.3023,3.4871,3.5921,3.6659,3.7786,3.8544
1,50.5,-0.350000,3.412307,0.080000,2.9469,3.0004,3.0852,3.2348,3.4123,3.6032,3.7117,3.7880,3.9044,3.9828
1,51,-0.350000,3.522249,0.080000,3.0418,3.0970,3.1846,3.3390,3.5222,3.7193,3.8313,3.9100,4.0302,4.1111
1,51.5,-0.350000,3.632165,0.080000,3.1367,3.1937,3.2840,3.4432,3.6322,3.8354,3.9509,4.0321,4.1560,4.2394
1,52,-0.350000,3.742057,0.080000,3.2316,3.2903,3.3834,3.5474,3.7421,3.9514,4.0704,4.1540,4.2818,4.3676
1,52.5,-0.350000,3.851924,0.080000,3.3265,3.3869,3.4827,3.6516,3.8519,4.0674,4.1899,4.2760,4.4075,4.4959
1,53,-0.350000,3.961766,0.080000,3.4214,3.4835,3.5820,3.7557,3.9618,4.1834,4.3094,4.3979,4.5332,4.6241
1,53.5,-0.350000,4.071584,0.080000,3.5162,3.5800,3.6813,3.8598,4.0716,4.2994,4.4288,4.5198,4.6588,4.7523
1,54,-0.350000,4.181378,0.080000,3.6110,3.6766,3.7806,3.9639,4.1814,4.4153,4.5483,4.6417,4.7844,4.8804
1,54.5,-0.350000,4.291149,0.080000,3.7058,3.7731,3.8798,4.0679,4.2911,4.5312,4.6677,4.7636,4.9100,5.0085
1,55,-0.350000,4.400898,0.080000,3.8006,3.8696,3.9791,4.1720,4.4009,4.6471,4.7871,4.8854,5.0356,5.1366
1,55.5,-0.350000,4.530630,0.080000,3.9126,3.9837,4.0964,4.2950,4.5306,4.7841,4.9282,5.0294,5.1841,5.2880
1,56,-0.350000,4.660340,0.080000,4.0246,4.0977,4.2136,4.4179,4.6603,4.9211,5.0693,5.1734,5.3325,5.4394
1,56.5,-0.350000,4.790031,0.080000,4.1366,4.2117,4.3309,4.5409,4.7900,5.0580,5.2103,5.3174,5.4809,5.5908
